Name,Price,Review_Summary,Number_of_Reviews,Release_Date,Developers,Genres,Supported_VR,Steam_ID,Average_Review,Operating_Systems,Release_Year
Into the Radius VR,29.99,Very Positive,8909,"Jul 20, 2020",CM Games,"Action, Indie",True,1012790,Very Positive,Windows,2020
VR HOT,39.99,Mixed,805,"May 6, 2021",VR HOT,"Casual, Simulation, Early Access",True,1571340,Mixed,Windows,2021
CUSTOM ORDER MAID 3D2 It's a Night Magic,40.0,Very Positive,1346,"Jul 30, 2019",KISS,"Adventure, Indie, Simulation",True,1097580,Very Positive,Windows,2019
After the Fall®,8.99,Mostly Positive,2276,"Dec 9, 2021",Vertigo Games,"Action, Adventure",True,751630,Mostly Positive,Windows,2021
RaceRoom Racing Experience,0.0,Mostly Positive,22189,"Feb 12, 2013",KW Studios,"Racing, Simulation, Sports, Free To Play",True,211500,Mostly Positive,Windows,2013
FIVE NIGHTS AT FREDDY'S: HELP WANTED,29.99,Overwhelmingly Positive,11391,"May 28, 2019",Steel Wool Studios,"Action, Casual",True,732690,Overwhelmingly Positive,Windows,2019
Fallout 4 VR,59.99,Mixed,5154,"Dec 11, 2017",Bethesda Game Studios,RPG,True,611660,Mixed,Windows,2017
Walkabout Mini Golf VR,14.99,Overwhelmingly Positive,2693,"Jul 15, 2021",Mighty Coconut,"Casual, Indie, Sports",True,1408230,Overwhelmingly Positive,Windows,2021
Project Wingman,24.99,Very Positive,14328,"Dec 1, 2020",Sector D2,"Action, Indie, Simulation",True,895870,Very Positive,Windows,2020
Five Nights at Freddy's: Help Wanted 2,39.99,Very Positive,3871,"Dec 14, 2023",Steel Wool Studios,"Indie, Simulation",True,2287520,Very Positive,Windows,2023
F1® 23,69.99,Very Positive,13882,"Jun 15, 2023",Codemasters,"Racing, Sports",True,2108330,Very Positive,Windows,2023
Golf It!,8.99,Very Positive,22291,"Aug 18, 2023",Perfuse Entertainment,"Casual, Indie, Simulation, Sports",True,571740,Very Positive,"Windows, macOS",2023
Hellish Quart,16.99,Very Positive,6389,"Feb 16, 2021",Kubold,"Action, Early Access",True,1000360,Very Positive,Windows,2021
Battle Talent,19.99,Mostly Positive,674,"Jun 1, 2023",CyDream,"Action, Adventure, Simulation",True,1331510,Mostly Positive,Windows,2023
Contractors,19.99,Very Positive,3614,"Dec 14, 2018",Caveman Studio,"Action, Casual, Indie, Simulation",True,963930,Very Positive,Windows,2018
The Walking Dead: Saints & Sinners,39.99,Very Positive,7071,"Jan 23, 2020",Skydance Interactive,"Action, Adventure, Indie, RPG, Simulation, Strategy",True,916840,Very Positive,Windows,2020
Kayak VR: Mirage,16.09,Very Positive,842,"Jul 12, 2022",Better Than Life,"Adventure, Casual, Indie, Racing, Simulation, Sports",True,1683340,Very Positive,Windows,2022
City Car Driving,24.99,Very Positive,25222,"Nov 3, 2016","Forward Development, Ltd.","Indie, Racing, Simulation",True,493490,Very Positive,Windows,2016
STAR WARS™: Squadrons,39.99,Mixed,23438,"Oct 1, 2020",MOTIVE,"Action, Simulation",True,1222730,Mixed,Windows,2020
Myst,29.99,Very Positive,1421,"Aug 26, 2021",Cyan Worlds Inc,"Adventure, Casual, Indie",True,1255560,Very Positive,"Windows, macOS",2021
I Expect You To Die 3: Cog in the Machine,14.99,Very Positive,461,"Sep 28, 2023",Schell Games,"Action, Adventure, Simulation",True,2296380,Very Positive,Windows,2023
LoveXLust,34.99,Mostly Positive,238,"Sep 6, 2024",CTM,"Casual, Indie, Simulation",True,2647060,Mostly Positive,Windows,2024
FOREWARNED,12.99,Very Positive,4636,"Apr 25, 2024",Dreambyte Games,"Action, Adventure, Indie",True,1562420,Very Positive,Windows,2024
Legendary Tales,54.99,Mostly Positive,2439,"Feb 8, 2024",Urban Wolf Games Inc.,"Action, Adventure, Indie, RPG, Simulation",True,1465070,Mostly Positive,Windows,2024
